Name,Abbrev,Status,Year,City,Country,Mass(kg),Lat_n,Long_n
Acfer 088,,Official,1990,Tamanghasset, Algeria,0.2,27.75,4.43333
Acfer 089,,Official,1990,Tamanghasset, Algeria,0.682,27.6333,4.3
Acfer 090,,Official,1990,Tamanghasset, Algeria,0.29,27.5,3.83333
Acfer 091,,Official,1990,Tamanghasset, Algeria,3.49,27.45,4.11667
Acfer 092,,Official,1990,Tamanghasset, Algeria,0.244,27.6667,4.51667
Acfer 093,,Official,1990,Tamanghasset, Algeria,0.42,27.7167,4.13333
Acfer 094,,Official,1990,Tamanghasset, Algeria,0.082,27.7333,4.43333
Acfer 095,,Official,1990,Tamanghasset, Algeria,0.104,27.7167,4.38333
Acfer 096,,Official,1990,Tamanghasset, Algeria,0.572,27.6167,4.2
Acfer 097,,Official,1990,Tamanghasset, Algeria,0.063,27.5167,3.96667
Acfer 098,,Official,1990,Tamanghasset, Algeria,5.5,27.4667,3.88333
Acfer 099,,Official,1990,Tamanghasset, Algeria,0.313,27.45,3.83333
Acfer 100,,Official,1990,Tamanghasset, Algeria,0.14,27.4667,3.95
Acfer 101,,Official,1990,Tamanghasset, Algeria,0.452,27.5333,4.16667
Acfer 102,,Official,1990,Tamanghasset, Algeria,0.346,27.6667,4.46667
Acfer 103,,Official,1990,Tamanghasset, Algeria,0.665,27.8,4.5
Acfer 104,,Official,1990,Tamanghasset, Algeria,0.992,27.6333,4.36667
Acfer 105,,Official,1990,Tamanghasset, Algeria,0.392,27.55,4.13333
Acfer 106,,Official,1990,Tamanghasset, Algeria,1.39,27.5,3.9
Acfer 107,,Official,1990,Tamanghasset, Algeria,0.105,27.45,3.75
Acfer 108,,Official,1990,Tamanghasset, Algeria,0.828,27.5,3.88333
Acfer 109,,Official,1990,Tamanghasset, Algeria,0.236,27.55,3.76667
Acfer 110,,Official,1990,Tamanghasset, Algeria,0.107,27.4833,3.8
Acfer 111,,Official,1990,Tamanghasset, Algeria,0.987,27.4833,3.8
Acfer 112,,Official,1990,Tamanghasset, Algeria,0.216,27.65,4.03333
Acfer 113,,Official,1990,Tamanghasset, Algeria,2.91,27.5667,4.03333
Acfer 114,,Official,1990,Tamanghasset, Algeria,0.043,27.6,3.96667
Acfer 115,,Official,1990,Tamanghasset, Algeria,0.287,27.7333,4.16667
Acfer 116,,Official,1990,Tamanghasset, Algeria,0.345,27.7333,4.16667
Acfer 117,,Official,1990,Tamanghasset, Algeria,0.178,27.7333,4.2
Acfer 118,,Official,1990,Tamanghasset, Algeria,0.752,27.6667,4.2
Acfer 119,,Official,1990,Tamanghasset, Algeria,0.121,27.65,4.23333
Acfer 120,,Official,1990,Tamanghasset, Algeria,0.861,27.65,4.3
Acfer 121,,Official,1990,Tamanghasset, Algeria,0.427,27.6833,4.33333
Acfer 122,,Official,1990,Tamanghasset, Algeria,0.235,27.5,3.66667
Acfer 123,,Official,1990,Tamanghasset, Algeria,0.452,27.4667,3.76667
Acfer 124,,Official,1990,Tamanghasset, Algeria,0.542,27.6,4.05
Acfer 125,,Official,1990,Tamanghasset, Algeria,3.38,27.6833,4.35
Acfer 126,,Official,1990,Tamanghasset, Algeria,0.28,27.5167,3.8
Acfer 127,,Official,1990,Tamanghasset, Algeria,0.699,27.7,4.3
Acfer 128,,Official,1990,Tamanghasset, Algeria,0.163,27.5,4.3
Acfer 129,,Official,1990,Tamanghasset, Algeria,0.162,27.6,4.2
Acfer 130,,Official,1990,Tamanghasset, Algeria,0.4,27.5833,4
Acfer 131,,Official,1990,Tamanghasset, Algeria,0.171,27.5833,3.96667
Acfer 132,,Official,1990,Tamanghasset, Algeria,1.621,27.5,3.76667
Acfer 133,,Official,1990,Tamanghasset, Algeria,0.362,27.5,3.83333
Acfer 134,,Official,1990,Tamanghasset, Algeria,1.161,27.7667,4.53333
Acfer 135,,Official,1990,Tamanghasset, Algeria,0.124,27.55,4.03333
Acfer 136,,Official,1990,Tamanghasset, Algeria,0.324,27.4667,4.05
Acfer 137,,Official,1990,Tamanghasset, Algeria,0.106,27.5833,4.08333
Acfer 138,,Official,1990,Tamanghasset, Algeria,0.941,27.6667,4.08333
Acfer 139,,Official,1990,Tamanghasset, Algeria,0.143,27.5667,4.08333
Acfer 140,,Official,1990,Tamanghasset, Algeria,0.171,27.5667,4.08333
Acfer 141,,Official,1990,Tamanghasset, Algeria,0.058,27.5833,3.85
Acfer 142,,Official,1990,Tamanghasset, Algeria,0.091,27.5667,4.35
Acfer 143,,Official,1990,Tamanghasset, Algeria,0.417,27.6667,4.45
Acfer 144,,Official,1990,Tamanghasset, Algeria,0.186,27.6667,4.28333
Acfer 145,,Official,1990,Tamanghasset, Algeria,0.869,27.6667,4.28333
Acfer 146,,Official,1990,Tamanghasset, Algeria,0.2,27.6333,4.08333
Acfer 147,,Official,1990,Tamanghasset, Algeria,0.14,27.6,4.11667
Acfer 148,,Official,1990,Tamanghasset, Algeria,0.157,27.5833,4.06667
Acfer 149,,Official,1990,Tamanghasset, Algeria,0.394,27.5833,4.05
Acfer 150,,Official,1990,Tamanghasset, Algeria,0.251,27.5667,3.81667
Acfer 151,,Official,1990,Tamanghasset, Algeria,0.218,27.4667,3.71667
Acfer 152,,Official,1990,Tamanghasset, Algeria,0.157,27.4333,3.75
Acfer 153,,Official,1990,Tamanghasset, Algeria,0.211,27.5333,3.95
Acfer 154,,Official,1990,Tamanghasset, Algeria,0.095,27.55,4.01667
Acfer 155,,Official,1990,Tamanghasset, Algeria,0.206,27.6667,4.25
Acfer 156,,Official,1990,Tamanghasset, Algeria,0.24,27.6667,4.23333
Acfer 157,,Official,1990,Tamanghasset, Algeria,1.072,27.6667,4.23333
Acfer 158,,Official,1990,Tamanghasset, Algeria,0.422,27.6667,4.21667
Acfer 159,,Official,1990,Tamanghasset, Algeria,0.123,27.5,3.93333
Acfer 160,,Official,1990,Tamanghasset, Algeria,0.433,27.4667,3.71667
Acfer 161,,Official,1990,Tamanghasset, Algeria,0.604,27.75,4.43333
Acfer 162,,Official,1990,Tamanghasset, Algeria,1.281,27.6667,4.01667
Acfer 163,,Official,1990,Tamanghasset, Algeria,0.125,27.7,4.35
Acfer 164,,Official,1990,Tamanghasset, Algeria,0.043,27.5333,4.18333
Acfer 165,,Official,1990,Tamanghasset, Algeria,0.084,27.5667,4.33333
Acfer 166,,Official,1990,Tamanghasset, Algeria,2.48,27.5167,4.23333
Acfer 167,,Official,1990,Tamanghasset, Algeria,0.157,27.5167,4
Acfer 168,,Official,1990,Tamanghasset, Algeria,0.211,27.6,3.98333
Acfer 169,,Official,1990,Tamanghasset, Algeria,0.559,27.7333,4.11667
Acfer 171,,Official,1990,Tamanghasset, Algeria,0.313,27.65,4.25
Acfer 172,,Official,1990,Tamanghasset, Algeria,0.766,27.6667,4.16667
Acfer 173,,Official,1990,Tamanghasset, Algeria,0.262,27.65,4.03333
Acfer 174,,Official,1990,Tamanghasset, Algeria,0.127,27.4833,3.86667
Acfer 175,,Official,1990,Tamanghasset, Algeria,0.153,27.4833,3.85
Acfer 176,,Official,1990,Tamanghasset, Algeria,0.32,27.4833,3.85
Acfer 177,,Official,1990,Tamanghasset, Algeria,0.721,27.4833,3.85
Acfer 178,,Official,1990,Tamanghasset, Algeria,0.488,27.4833,3.75
Acfer 179,,Official,1990,Tamanghasset, Algeria,0.163,27.4667,3.75
Acfer 180,,Official,1990,Tamanghasset, Algeria,0.103,27.6,4.16667
Acfer 181,,Official,1990,Tamanghasset, Algeria,0.245,27.6667,4.2
Acfer 182,,Official,1990,Tamanghasset, Algeria,0.166,27.7,4.35
Acfer 183,,Official,1990,Tamanghasset, Algeria,0.114,27.5833,4.16667
Acfer 184,,Official,1990,Tamanghasset, Algeria,0.311,27.5667,4.01667
Acfer 185,,Official,1990,Tamanghasset, Algeria,0.109,27.5333,3.83333
Acfer 186,,Official,1990,Tamanghasset, Algeria,0.315,27.4667,3.86667
Acfer 187,,Official,1990,Tamanghasset, Algeria,0.234,27.4667,3.9
Acfer 188,,Official,1990,Tamanghasset, Algeria,0.252,27.5833,4.11667
Acfer 189,,Official,1990,Tamanghasset, Algeria,0.053,27.6,4.18333
Acfer 190,,Official,1990,Tamanghasset, Algeria,4.44,27.7,4.3
Acfer 191,,Official,1990,Tamanghasset, Algeria,0.188,27.7,4.3
Acfer 192,,Official,1990,Tamanghasset, Algeria,0.219,27.65,4.2
Acfer 193,,Official,1990,Tamanghasset, Algeria,0.157,27.5667,3.95
Acfer 194,,Official,1991,Tamanghasset, Algeria,0.361,27.4833,3.68333
Acfer 195,,Official,1991,Tamanghasset, Algeria,0.233,27.5167,3.8
Acfer 196,,Official,1991,Tamanghasset, Algeria,0.029,27.5667,4.03333
Acfer 197,,Official,1991,Tamanghasset, Algeria,0.115,27.55,4.13333
Acfer 198,,Official,1991,Tamanghasset, Algeria,0.267,27.5167,3.78333
Acfer 199,,Official,1991,Tamanghasset, Algeria,0.215,27.4667,3.85
Acfer 200,,Official,1991,Tamanghasset, Algeria,1.301,27.5,3.91667
Acfer 201,,Official,1991,Tamanghasset, Algeria,0.055,27.5833,3.91667
Acfer 202,,Official,1991,Tamanghasset, Algeria,0.389,27.5,4.6
Acfer 203,,Official,1991,Tamanghasset, Algeria,0.292,27.5667,4.36667
Acfer 204,,Official,1991,Tamanghasset, Algeria,0.064,27.6333,3.96667
Acfer 205,,Official,1991,Tamanghasset, Algeria,0.746,27.7333,4.31667
Acfer 206,,Official,1991,Tamanghasset, Algeria,1.229,27.6833,4.36667
Acfer 207,,Official,1991,Tamanghasset, Algeria,0.105,27.6833,4.36667
Acfer 208,,Official,1991,Tamanghasset, Algeria,0.51,27.5,3.86667
Acfer 209,,Official,1991,Tamanghasset, Algeria,0.475,27.5,3.86667
Acfer 210,,Official,1991,Tamanghasset, Algeria,0.72,27.4833,3.86667
Acfer 211,,Official,1991,Tamanghasset, Algeria,1.009,27.45,3.76667
Acfer 212,,Official,1991,Tamanghasset, Algeria,1.34,27.6,3.7
Acfer 213,,Official,1991,Tamanghasset, Algeria,0.526,27.6667,4.3
Acfer 214,,Official,1991,Tamanghasset, Algeria,0.612,27.6833,4.36667
Acfer 215,,Official,1991,Tamanghasset, Algeria,0.107,27.6333,4.16667
Acfer 216,,Official,1991,Tamanghasset, Algeria,0.293,27.5833,4.9
Acfer 217,,Official,1991,Tamanghasset, Algeria,0.174,27.5833,3.88333
Acfer 218,,Official,1991,Tamanghasset, Algeria,0.114,27.5333,3.73333
Acfer 219,,Official,1991,Tamanghasset, Algeria,2.61,27.5167,3.78333
Acfer 220,,Official,1991,Tamanghasset, Algeria,0.117,27.5167,3.78333
Acfer 221,,Official,1991,Tamanghasset, Algeria,0.812,27.5167,3.8
Acfer 222,,Official,1991,Tamanghasset, Algeria,0.334,27.5333,3.81667
Acfer 223,,Official,1991,Tamanghasset, Algeria,1.398,27.5333,3.81667
Acfer 224,,Official,1991,Tamanghasset, Algeria,0.085,27.6333,3.93333
Acfer 225,,Official,1991,Tamanghasset, Algeria,0.255,27.6333,3.93333
Acfer 226,,Official,1991,Tamanghasset, Algeria,0.221,27.6833,3.98333
Acfer 227,,Official,1991,Tamanghasset, Algeria,0.078,27.6667,4.41667
Acfer 228,,Official,1991,Tamanghasset, Algeria,2.29,27.5667,4.11667
Acfer 229,,Official,1991,Tamanghasset, Algeria,0.325,27.8167,4.23333
Acfer 230,,Official,1991,Tamanghasset, Algeria,0.069,27.7333,4.3
Acfer 231,,Official,1991,Tamanghasset, Algeria,0.218,27.7333,4.3
Acfer 232,,Official,1991,Tamanghasset, Algeria,0.725,27.7333,4.31667
Acfer 233,,Official,1991,Tamanghasset, Algeria,0.242,27.7167,4.43333
Acfer 234,,Official,1991,Tamanghasset, Algeria,0.621,27.5,4.08333
Acfer 235,,Official,1991,Tamanghasset, Algeria,0.461,27.5167,4.01667
Acfer 236,,Official,1991,Tamanghasset, Algeria,0.081,27.5,3.88333
Acfer 237,,Official,1991,Tamanghasset, Algeria,0.673,27.4833,3.81667
Acfer 238,,Official,1991,Tamanghasset, Algeria,0.311,27.5,3.66667
Acfer 239,,Official,1991,Tamanghasset, Algeria,0.16,27.4833,3.65
Acfer 240,,Official,1991,Tamanghasset, Algeria,0.342,27.4833,3.68333
Acfer 241,,Official,1991,Tamanghasset, Algeria,0.086,27.5,3.71667
Acfer 242,,Official,1991,Tamanghasset, Algeria,0.318,27.5167,3.76667
Acfer 243,,Provisional,1991,Tamanghasset, Algeria,0.099,27.5167,3.78333
Acfer 244,,Official,1991,Tamanghasset, Algeria,2.05,27.5167,3.8
Acfer 245,,Official,1991,Tamanghasset, Algeria,0.075,27.55,3.91667
Acfer 246,,Official,1991,Tamanghasset, Algeria,0.923,27.6833,3.31667
Acfer 247,,Official,1991,Tamanghasset, Algeria,0.06,27.6333,4.01667
Acfer 248,,Official,1991,Tamanghasset, Algeria,0.402,27.6333,4.01667
Acfer 249,,Official,1991,Tamanghasset, Algeria,0.099,27.6167,3.95
Acfer 250,,Official,1991,Tamanghasset, Algeria,0.382,27.55,3.73333
Acfer 251,,Official,1991,Tamanghasset, Algeria,0.202,27.5,3.86667
Acfer 252,,Official,1991,Tamanghasset, Algeria,0.146,27.5,3.88333
Acfer 253,,Official,1991,Tamanghasset, Algeria,0.047,27.5,3.88333
Acfer 254,,Official,1991,Tamanghasset, Algeria,0.099,27.5167,3.93333
Acfer 255,,Official,1991,Tamanghasset, Algeria,0.124,27.6333,4.38333
Acfer 256,,Official,1991,Tamanghasset, Algeria,0.235,27.6333,4.38333
Acfer 257,,Official,1991,Tamanghasset, Algeria,0.075,27.6833,4.5
Acfer 258,,Official,1991,Tamanghasset, Algeria,0.212,27.6667,4.33333
Acfer 259,,Official,1991,Tamanghasset, Algeria,0.114,27.5167,3.86667
Acfer 260,,Official,1991,Tamanghasset, Algeria,0.177,27.4667,3.7
Acfer 261,,Official,1991,Tamanghasset, Algeria,0.073,27.7,4.41667
Acfer 262,,Official,1991,Tamanghasset, Algeria,0.092,27.6667,4.48333
Acfer 263,,Official,1991,Tamanghasset, Algeria,0.438,27.6833,4.33333
Acfer 264,,Official,1991,Tamanghasset, Algeria,0.243,27.6833,4.3
Acfer 265,,Official,1991,Tamanghasset, Algeria,0.083,27.7,4.18333
Acfer 266,,Official,1991,Tamanghasset, Algeria,0.518,27.7167,4.16667
Acfer 267,,Official,1991,Tamanghasset, Algeria,0.229,27.5,3.7
Acfer 268,,Official,1991,Tamanghasset, Algeria,0.764,27.5,3.86667
Acfer 269,,Official,1991,Tamanghasset, Algeria,0.276,27.5,3.85
Acfer 270,,Official,1991,Tamanghasset, Algeria,0.298,27.5167,3.85
Acfer 271,,Official,1991,Tamanghasset, Algeria,0.237,27.55,4.05
Acfer 272,,Official,1991,Tamanghasset, Algeria,0.063,27.5667,4.06667
Acfer 273,,Official,1991,Tamanghasset, Algeria,2.11,27.6167,4.45
Acfer 274,,Official,1991,Tamanghasset, Algeria,0.203,27.6333,4.18333
Acfer 275,,Official,1991,Tamanghasset, Algeria,0.429,27.6333,4.16667
Acfer 276,,Official,1991,Tamanghasset, Algeria,0.099,27.6333,4.13333
Acfer 277,,Official,1991,Tamanghasset, Algeria,0.041,27.6333,4.13333
Acfer 278,,Official,1991,Tamanghasset, Algeria,0.072,27.6333,4.11667
